t raw new accept
4.534 0.0000 0.0000 0
4.564 0.0000 0.0000 0
4.587 0.0000 0.0000 0
4.607 0.0000 0.0000 0
4.637 0.0000 0.0000 0
4.657 0.0000 0.0000 0
4.680 0.0000 0.0000 0
4.710 0.0000 0.0000 0
4.737 0.0000 0.0000 0
4.757 0.0000 0.0000 0
4.777 0.0000 0.0000 0
4.813 0.0000 0.0000 0
4.833 0.0000 0.0000 0
4.857 0.0000 0.0000 0
4.887 0.0000 0.0000 0
4.910 0.0000 0.0000 0
4.930 0.0000 0.0000 0
4.964 0.0000 0.0000 0
4.984 0.0000 0.0000 0
5.004 0.0000 0.0000 0
5.024 0.0000 0.0000 0
5.059 0.0000 0.0000 0
5.079 0.0000 0.0000 0
5.099 0.0000 0.0000 0
5.132 0.0000 0.0000 0
5.152 0.0000 0.0000 0
5.172 0.0000 0.0000 0
5.202 0.0000 0.0000 0
5.228 0.0000 0.0000 0
5.248 0.0000 0.0000 0
5.284 0.0000 0.0000 0
5.304 0.0000 0.0000 0
5.329 0.0000 0.0000 0
5.349 0.0000 0.0000 0
5.383 0.0000 0.0000 0
5.403 0.0000 0.0000 0
5.423 0.0000 0.0000 0
5.456 0.0000 0.0000 0
5.476 0.0000 0.0000 0
5.500 0.0000 0.0000 0
5.530 0.0000 0.0000 0
5.553 0.0000 0.0000 0
5.573 0.0000 0.0000 0
5.596 0.0000 0.0000 0
5.626 0.0000 0.0000 0
5.649 0.0000 0.0000 0
5.669 0.0000 0.0000 0
5.703 0.0000 0.0000 0
5.723 0.0000 0.0000 0
5.743 0.0000 0.0000 0
5.776 0.0000 0.0000 0
5.796 0.0000 0.0000 0
5.816 0.0000 0.0000 0
5.836 0.0000 0.0000 0
5.869 0.0000 0.0000 0
5.889 0.0000 0.0000 0
5.912 0.0000 0.0000 0
5.942 0.0000 0.0000 0
5.966 0.0000 0.0000 0
5.986 0.0000 0.0000 0
6.018 0.0000 0.0000 0
6.038 0.0000 0.0000 0
6.058 0.0000 0.0000 0
6.082 0.0000 0.0000 0
6.112 0.0000 0.0000 0
6.138 0.0000 0.0000 0
6.158 0.0000 0.0000 0
6.192 0.0000 0.0000 0
6.212 0.0000 0.0000 0
6.238 0.0000 0.0000 0
6.268 0.0000 0.0000 0
6.293 0.0000 0.0000 0
6.313 0.0000 0.0000 0
6.348 0.0000 0.0000 0
6.368 0.0000 0.0000 0
6.388 0.0000 0.0000 0
6.414 0.0000 0.0000 0
6.444 0.0000 0.0000 0
6.470 0.0000 0.0000 0
6.490 0.0000 0.0000 0
6.524 0.0000 0.0000 0
6.544 0.0000 0.0000 0
6.569 0.0000 0.0000 0
6.599 0.0000 0.0000 0
6.623 0.0000 0.0000 0
6.643 0.0000 0.0000 0
6.663 0.0000 0.0000 0
6.698 0.0000 0.0000 0
6.718 0.0000 0.0000 0
6.742 0.0000 0.0000 0
6.772 0.0000 0.0000 0
6.796 0.0000 0.0000 0
6.816 0.0000 0.0000 0
6.852 0.0000 0.0000 0
6.872 0.0000 0.0000 0
6.896 0.0000 0.0000 0
6.916 0.0000 0.0000 0
6.951 0.0000 0.0000 0
6.971 0.0000 0.0000 0
6.991 0.0000 0.0000 0
7.026 0.0000 0.0000 0
7.046 0.0000 0.0000 0
7.072 0.0000 0.0000 0
7.102 0.0000 0.0000 0
7.126 0.0000 0.0000 0
7.146 0.0000 0.0000 0
7.173 0.0000 0.0000 0
7.203 0.0000 0.0000 0
7.227 0.0000 0.0000 0
7.247 0.0000 0.0000 0
7.283 0.0000 0.0000 0
7.303 0.0000 0.0000 0
7.324 0.0000 0.0000 0
7.358 0.0000 0.0000 0
7.378 0.0000 0.0000 0
7.404 0.0000 0.0000 0
7.434 0.0000 0.0000 0
7.458 0.0000 0.0000 0
7.478 0.0000 0.0000 0
7.504 0.0000 0.0000 0
7.534 0.0000 0.0000 0
7.558 0.0000 0.0000 0
7.578 0.0000 0.0000 0
7.614 0.0000 0.0000 0
7.634 0.0000 0.0000 0
7.654 0.0000 0.0000 0
7.688 0.0000 0.0000 0
7.708 0.0000 0.0000 0
7.732 0.0000 0.0000 0
7.752 0.0000 0.0000 0
